idx,embedding,n_hvg,gate_factor,start,traj_acc,bif_score,from_expected,from_self,trajectory
1,pca,1500,0.8,MEP,1.0,0.0,0,15,MEP → MEP → MEP
2,pca,1500,0.8,GMP,0.5,0.2,4,0,GMP → MEP → MEP
3,pca,1500,1.0,MEP,1.0,0.0,0,18,MEP → MEP → MEP
4,pca,1500,1.0,GMP,0.3333333333333333,0.5,10,0,GMP → Lymph → DC → DC
5,pca,3004,0.8,MEP,0.6666666666666666,0.0,0,12,MEP → MEP → Lymph → Lymph
6,pca,3004,0.8,GMP,0.5,0.2,4,0,GMP → Lymph → Lymph
7,pca,3004,1.0,MEP,0.5,0.0,0,16,MEP → MEP → Lymph → DC → DC
8,pca,3004,1.0,GMP,0.3333333333333333,0.5,10,0,GMP → Lymph → DC → DC
9,log1p_only,1500,0.8,MEP,0.5,0.45,9,0,MEP → Baso → Baso
10,log1p_only,1500,0.8,GMP,1.0,0.5,10,1,GMP → Baso → Baso
11,log1p_only,1500,1.0,MEP,0.5,0.45,9,0,MEP → Baso → Baso
12,log1p_only,1500,1.0,GMP,1.0,0.5,10,1,GMP → Baso → Baso
13,log1p_only,3004,0.8,MEP,0.5,0.25,5,0,MEP → Baso → Baso
14,log1p_only,3004,0.8,GMP,1.0,0.65,13,1,GMP → Baso → Baso
15,log1p_only,3004,1.0,MEP,0.5,0.25,5,0,MEP → Baso → Baso
16,log1p_only,3004,1.0,GMP,1.0,0.65,13,1,GMP → Baso → Baso
